Transcript stable ID	Gene stable ID	Gene type	Gene name
ENSRNOT00000083040.1	ENSRNOG00000057255	misc_RNA	7SK
ENSRNOT00000063198.3	ENSRNOG00000054208	miRNA	AC129370.2
ENSRNOT00000001261.6	ENSRNOG00000000954	protein_coding	Polr1d
ENSRNOT00000012644.4	ENSRNOG00000009450	protein_coding	Hcn4
ENSRNOT00000071718.2	ENSRNOG00000052006	pseudogene	AABR07012295.1
ENSRNOT00000080240.1	ENSRNOG00000052630	lincRNA	AABR07032327.1
ENSRNOT00000011287.6	ENSRNOG00000008345	protein_coding	Clcn6
ENSRNOT00000046167.1	ENSRNOG00000050876	protein_coding	Olr542
ENSRNOT00000017022.7	ENSRNOG00000012718	protein_coding	Zfp451
ENSRNOT00000075420.2	ENSRNOG00000047085	protein_coding	Lrrtm2
ENSRNOT00000083070.1	ENSRNOG00000056247	misc_RNA	7SK
ENSRNOT00000033486.6	ENSRNOG00000028248	protein_coding	Lca5l
ENSRNOT00000077727.1	ENSRNOG00000057153	protein_coding	Pla1a
ENSRNOT00000002247.6	ENSRNOG00000001647	protein_coding	Ets2
ENSRNOT00000023483.6	ENSRNOG00000017330	protein_coding	AC103221.1
ENSRNOT00000078197.1	ENSRNOG00000054542	lincRNA	AABR07064897.1
ENSRNOT00000081177.1	ENSRNOG00000056975	misc_RNA	7SK
ENSRNOT00000023550.7	ENSRNOG00000017265	protein_coding	Tmem131
ENSRNOT00000072060.1	ENSRNOG00000049532	miRNA	AC142126.2
ENSRNOT00000039059.3	ENSRNOG00000009675	protein_coding	Cdc42bpb
ENSRNOT00000080623.1	ENSRNOG00000009675	protein_coding	Cdc42bpb
ENSRNOT00000021348.5	ENSRNOG00000015850	protein_coding	Rbp7
ENSRNOT00000082553.1	ENSRNOG00000053524	snRNA	U1
ENSRNOT00000042142.1	ENSRNOG00000028865	protein_coding	Kprp
ENSRNOT00000013501.7	ENSRNOG00000010008	protein_coding	Polr3a
ENSRNOT00000087195.1	ENSRNOG00000051788	snRNA	U6
ENSRNOT00000041750.4	ENSRNOG00000034107	protein_coding	LOC681282
ENSRNOT00000037371.3	ENSRNOG00000024780	protein_coding	MGC95210
ENSRNOT00000091322.1	ENSRNOG00000053029	lincRNA	AABR07060560.1
ENSRNOT00000087097.1	ENSRNOG00000059745	snoRNA	SNORA66
ENSRNOT00000018877.7	ENSRNOG00000013963	protein_coding	Il6st
ENSRNOT00000014407.5	ENSRNOG00000010807	protein_coding	Cox6c
ENSRNOT00000048460.3	ENSRNOG00000028869	protein_coding	RGD1563958
ENSRNOT00000022324.6	ENSRNOG00000016631	protein_coding	Zfp276
ENSRNOT00000011263.6	ENSRNOG00000008519	protein_coding	RGD1309079
ENSRNOT00000086491.1	ENSRNOG00000008519	protein_coding	RGD1309079
ENSRNOT00000033621.4	ENSRNOG00000024331	protein_coding	Upk1a
ENSRNOT00000072098.2	ENSRNOG00000047768	protein_coding	Lamb2
ENSRNOT00000083578.1	ENSRNOG00000047768	protein_coding	Lamb2
ENSRNOT00000020822.6	ENSRNOG00000015415	protein_coding	Rhoq
ENSRNOT00000043588.1	ENSRNOG00000029613	protein_coding	RGD1562558
ENSRNOT00000089831.1	ENSRNOG00000037217	protein_coding	Nudt17
ENSRNOT00000031484.3	ENSRNOG00000037217	protein_coding	Nudt17
ENSRNOT00000026969.6	ENSRNOG00000027232	protein_coding	Pcdhga11
ENSRNOT00000057854.1	ENSRNOG00000038024	protein_coding	AABR07061254.1
ENSRNOT00000014337.4	ENSRNOG00000010804	protein_coding	Olr1108
ENSRNOT00000063952.1	ENSRNOG00000024801	protein_coding	Slc35a2
ENSRNOT00000034446.2	ENSRNOG00000011492	protein_coding	LOC108348302
ENSRNOT00000036745.6	ENSRNOG00000026527	protein_coding	Snx32
ENSRNOT00000051917.2	ENSRNOG00000030736	protein_coding	Hist2h2ac
ENSRNOT00000006482.3	ENSRNOG00000028518	protein_coding	Msgn1
ENSRNOT00000020366.5	ENSRNOG00000015105	protein_coding	Bspry
ENSRNOT00000082845.1	ENSRNOG00000055886	pseudogene	AABR07051399.1
ENSRNOT00000026280.4	ENSRNOG00000019212	protein_coding	Tpp1
ENSRNOT00000049256.5	ENSRNOG00000031555	protein_coding	LOC685747
ENSRNOT00000063879.1	ENSRNOG00000020939	protein_coding	Ms4a8
ENSRNOT00000091092.1	ENSRNOG00000057190	pseudogene	AC114111.2
ENSRNOT00000001941.3	ENSRNOG00000001430	protein_coding	Polr2j
ENSRNOT00000003001.6	ENSRNOG00000002208	protein_coding	Shroom3
ENSRNOT00000000874.4	ENSRNOG00000000693	protein_coding	Svop
ENSRNOT00000084511.1	ENSRNOG00000000693	protein_coding	Svop
ENSRNOT00000080322.1	ENSRNOG00000060066	protein_coding	Hoxa6
ENSRNOT00000077428.1	ENSRNOG00000054513	protein_coding	Zmiz2
ENSRNOT00000071016.1	ENSRNOG00000048836	miRNA	AABR07003935.7
ENSRNOT00000027360.5	ENSRNOG00000020182	protein_coding	Mvp
ENSRNOT00000090487.1	ENSRNOG00000058078	snoRNA	SNORA70
ENSRNOT00000047230.5	ENSRNOG00000049674	protein_coding	LOC501421
ENSRNOT00000086109.1	ENSRNOG00000056505	snoRNA	SNORA17
ENSRNOT00000053694.1	ENSRNOG00000035571	miRNA	Mir133b
ENSRNOT00000068269.2	ENSRNOG00000011762	protein_coding	Elf1
ENSRNOT00000084005.1	ENSRNOG00000011762	protein_coding	Elf1
ENSRNOT00000079417.1	ENSRNOG00000011762	protein_coding	Elf1
ENSRNOT00000084423.1	ENSRNOG00000056877	misc_RNA	7SK
ENSRNOT00000037194.1	ENSRNOG00000028130	protein_coding	Tas2r144
ENSRNOT00000081136.1	ENSRNOG00000045816	protein_coding	Gria1
ENSRNOT00000073148.2	ENSRNOG00000045816	protein_coding	Gria1
ENSRNOT00000071615.3	ENSRNOG00000045816	protein_coding	Gria1
ENSRNOT00000071333.2	ENSRNOG00000050468	protein_coding	AABR07005027.1
ENSRNOT00000033483.4	ENSRNOG00000021657	protein_coding	Pld6
ENSRNOT00000060614.3	ENSRNOG00000039543	protein_coding	Rnase11
ENSRNOT00000083800.1	ENSRNOG00000057043	protein_coding	Olr1549
ENSRNOT00000055398.2	ENSRNOG00000024707	protein_coding	Tp73
ENSRNOT00000085174.1	ENSRNOG00000051899	miRNA	AABR07000159.1
ENSRNOT00000015540.7	ENSRNOG00000011634	protein_coding	Xkr6
ENSRNOT00000014910.5	ENSRNOG00000011222	protein_coding	Dynll1
ENSRNOT00000015635.5	ENSRNOG00000028919	protein_coding	Zfp868
ENSRNOT00000027214.4	ENSRNOG00000050105	protein_coding	LOC103689942
ENSRNOT00000086058.1	ENSRNOG00000060030	snoRNA	SNORD115
ENSRNOT00000078894.1	ENSRNOG00000052765	miRNA	AABR07058517.1
ENSRNOT00000023114.6	ENSRNOG00000027343	protein_coding	Ttc39d
ENSRNOT00000084297.1	ENSRNOG00000057389	protein_coding	Dusp28
ENSRNOT00000065115.2	ENSRNOG00000032009	protein_coding	LOC499643
ENSRNOT00000084198.1	ENSRNOG00000032009	protein_coding	LOC499643
ENSRNOT00000082860.1	ENSRNOG00000052383	protein_coding	Rhox9
ENSRNOT00000036951.2	ENSRNOG00000026941	protein_coding	Tril
ENSRNOT00000015546.4	ENSRNOG00000010846	protein_coding	Ccdc22
ENSRNOT00000071833.1	ENSRNOG00000046516	protein_coding	Olfr873
ENSRNOT00000031908.6	ENSRNOG00000026503	protein_coding	Xrra1
ENSRNOT00000087818.1	ENSRNOG00000026503	protein_coding	Xrra1
ENSRNOT00000089549.1	ENSRNOG00000057338	protein_coding	Olr867
ENSRNOT00000008410.5	ENSRNOG00000006139	protein_coding	Stx18
ENSRNOT00000060213.3	ENSRNOG00000039305	protein_coding	LOC102547118
ENSRNOT00000051043.3	ENSRNOG00000045945	protein_coding	AABR07066440.1
ENSRNOT00000072904.3	ENSRNOG00000024499	protein_coding	AABR07027342.1
ENSRNOT00000082384.1	ENSRNOG00000059128	lincRNA	AABR07057237.1
ENSRNOT00000081433.1	ENSRNOG00000050553	protein_coding	Atp6v1c2
ENSRNOT00000071977.2	ENSRNOG00000050553	protein_coding	Atp6v1c2
ENSRNOT00000084802.1	ENSRNOG00000051963	lincRNA	AABR07009638.2
ENSRNOT00000090651.1	ENSRNOG00000054990	lincRNA	AABR07060133.1
ENSRNOT00000006168.7	ENSRNOG00000004505	protein_coding	Nfic
ENSRNOT00000081221.1	ENSRNOG00000054844	lincRNA	AABR07063746.1
ENSRNOT00000085406.1	ENSRNOG00000057429	rRNA	5S_rRNA
ENSRNOT00000081156.1	ENSRNOG00000056144	protein_coding	Olr29
ENSRNOT00000025725.6	ENSRNOG00000019019	protein_coding	Fitm1
ENSRNOT00000085820.1	ENSRNOG00000055026	snRNA	U6
ENSRNOT00000083771.1	ENSRNOG00000052417	snoRNA	SNORA17
ENSRNOT00000018164.6	ENSRNOG00000013579	protein_coding	LOC100359916
ENSRNOT00000051258.3	ENSRNOG00000006353	protein_coding	Large2
ENSRNOT00000074950.1	ENSRNOG00000050514	protein_coding	LOC684509
ENSRNOT00000064015.2	ENSRNOG00000013855	protein_coding	Zmym1
ENSRNOT00000075423.2	ENSRNOG00000046227	protein_coding	Tprg1l
ENSRNOT00000080686.1	ENSRNOG00000046227	protein_coding	Tprg1l
ENSRNOT00000024408.4	ENSRNOG00000018047	protein_coding	Gorasp1
ENSRNOT00000084950.1	ENSRNOG00000018047	protein_coding	Gorasp1
ENSRNOT00000080548.1	ENSRNOG00000054067	lincRNA	AABR07005837.1
ENSRNOT00000080915.1	ENSRNOG00000060872	lincRNA	AABR07017513.1
ENSRNOT00000044455.5	ENSRNOG00000054828	protein_coding	AABR07051708.1
ENSRNOT00000086066.1	ENSRNOG00000059013	lincRNA	AABR07060519.1
ENSRNOT00000080891.1	ENSRNOG00000054668	snRNA	U6
ENSRNOT00000090597.1	ENSRNOG00000060665	protein_coding	Afap1
ENSRNOT00000089006.1	ENSRNOG00000060665	protein_coding	Afap1
ENSRNOT00000075274.1	ENSRNOG00000050409	miRNA	AABR07049722.1
ENSRNOT00000083005.1	ENSRNOG00000014230	protein_coding	Map1a
ENSRNOT00000019320.2	ENSRNOG00000014230	protein_coding	Map1a
ENSRNOT00000080580.1	ENSRNOG00000053514	snRNA	U6
ENSRNOT00000051805.4	ENSRNOG00000032132	protein_coding	Rps27a-ps5
ENSRNOT00000078606.1	ENSRNOG00000055607	snRNA	U6
ENSRNOT00000002169.6	ENSRNOG00000001592	protein_coding	Cct8
ENSRNOT00000034485.6	ENSRNOG00000025938	protein_coding	Lin28b
ENSRNOT00000064466.4	ENSRNOG00000025938	protein_coding	Lin28b
ENSRNOT00000043498.6	ENSRNOG00000001928	protein_coding	Il1rap
ENSRNOT00000002645.4	ENSRNOG00000001928	protein_coding	Il1rap
ENSRNOT00000072947.1	ENSRNOG00000046260	protein_coding	LOC688320
ENSRNOT00000034300.6	ENSRNOG00000008680	protein_coding	Loxl1
ENSRNOT00000047856.1	ENSRNOG00000031899	protein_coding	Vom1r36
ENSRNOT00000052120.5	ENSRNOG00000033372	protein_coding	Klhl24
ENSRNOT00000072543.1	ENSRNOG00000050556	miRNA	AABR07003935.15
ENSRNOT00000083708.1	ENSRNOG00000057491	snRNA	U7
ENSRNOT00000088967.1	ENSRNOG00000059235	lincRNA	AABR07018837.1
ENSRNOT00000074915.1	ENSRNOG00000049797	protein_coding	NEWGENE_1311658
ENSRNOT00000087258.1	ENSRNOG00000060127	snoRNA	SNORA17
ENSRNOT00000073984.1	ENSRNOG00000049482	protein_coding	AABR07017681.1
ENSRNOT00000009697.7	ENSRNOG00000007359	protein_coding	Gca
ENSRNOT00000071358.2	ENSRNOG00000048837	protein_coding	LOC102554121
ENSRNOT00000042211.4	ENSRNOG00000032558	protein_coding	AABR07030263.1
ENSRNOT00000006050.6	ENSRNOG00000004588	protein_coding	Zbed4
ENSRNOT00000045439.1	ENSRNOG00000050654	protein_coding	Olr526
ENSRNOT00000071925.2	ENSRNOG00000048275	protein_coding	RGD1309350
ENSRNOT00000030112.5	ENSRNOG00000022890	protein_coding	RGD1562532
ENSRNOT00000051823.4	ENSRNOG00000029479	protein_coding	RGD1304870
ENSRNOT00000086812.1	ENSRNOG00000029773	protein_coding	Atm
ENSRNOT00000050555.3	ENSRNOG00000029773	protein_coding	Atm
ENSRNOT00000006308.4	ENSRNOG00000004649	protein_coding	Il1b
ENSRNOT00000087329.1	ENSRNOG00000052232	protein_coding	Cyb561d1
ENSRNOT00000073130.1	ENSRNOG00000050521	protein_coding	Tspo2
ENSRNOT00000055995.2	ENSRNOG00000037124	protein_coding	Fam227b
ENSRNOT00000070962.3	ENSRNOG00000045918	protein_coding	Jarid2
ENSRNOT00000019968.7	ENSRNOG00000014834	protein_coding	Epc1
ENSRNOT00000004956.4	ENSRNOG00000003357	protein_coding	Col3a1
ENSRNOT00000027734.5	ENSRNOG00000020460	protein_coding	Banf1
ENSRNOT00000074150.3	ENSRNOG00000046741	protein_coding	Itsn2
ENSRNOT00000017996.6	ENSRNOG00000013225	protein_coding	Crisp2
ENSRNOT00000044428.2	ENSRNOG00000032310	protein_coding	AABR07004183.1
ENSRNOT00000042119.3	ENSRNOG00000033030	processed_pseudogene	AABR07072440.1
ENSRNOT00000026491.8	ENSRNOG00000019592	protein_coding	Iqca1
ENSRNOT00000056724.5	ENSRNOG00000019592	protein_coding	Iqca1
ENSRNOT00000015946.4	ENSRNOG00000011745	protein_coding	Psma1
ENSRNOT00000079333.1	ENSRNOG00000001271	protein_coding	Card6
ENSRNOT00000039057.3	ENSRNOG00000001271	protein_coding	Card6
ENSRNOT00000028247.5	ENSRNOG00000020821	protein_coding	LOC108348122
ENSRNOT00000028901.6	ENSRNOG00000021274	protein_coding	Fermt1
ENSRNOT00000019267.6	ENSRNOG00000014187	protein_coding	Igf1r
ENSRNOT00000021543.5	ENSRNOG00000016100	protein_coding	Tbca
ENSRNOT00000004282.2	ENSRNOG00000003210	protein_coding	Olr1463
ENSRNOT00000006219.4	ENSRNOG00000004438	protein_coding	Cntn1
ENSRNOT00000080621.1	ENSRNOG00000004438	protein_coding	Cntn1
ENSRNOT00000048474.5	ENSRNOG00000000963	protein_coding	Tmem132c
ENSRNOT00000059157.4	ENSRNOG00000042229	protein_coding	Gimap1
ENSRNOT00000012600.8	ENSRNOG00000009431	protein_coding	Tbc1d4
ENSRNOT00000064942.4	ENSRNOG00000009431	protein_coding	Tbc1d4
ENSRNOT00000087263.1	ENSRNOG00000057118	protein_coding	Olr1316
ENSRNOT00000020192.5	ENSRNOG00000014743	protein_coding	Hagh
ENSRNOT00000014413.7	ENSRNOG00000010821	protein_coding	Ankrd54
ENSRNOT00000020609.5	ENSRNOG00000015304	protein_coding	Tmem160
ENSRNOT00000040516.5	ENSRNOG00000015359	protein_coding	Arhgap40
ENSRNOT00000018677.6	ENSRNOG00000013906	protein_coding	Gpat2
ENSRNOT00000091830.1	ENSRNOG00000054681	protein_coding	LOC108348042
ENSRNOT00000051619.3	ENSRNOG00000022669	protein_coding	Cd177
ENSRNOT00000004262.6	ENSRNOG00000003194	pseudogene	AABR07040622.1
ENSRNOT00000087322.1	ENSRNOG00000010492	protein_coding	Sp2
ENSRNOT00000068083.1	ENSRNOG00000010492	protein_coding	Sp2
ENSRNOT00000082933.1	ENSRNOG00000048917	protein_coding	LOC100909604
ENSRNOT00000074452.1	ENSRNOG00000048917	protein_coding	LOC100909604
ENSRNOT00000008542.2	ENSRNOG00000048917	protein_coding	LOC100909604
ENSRNOT00000011295.4	ENSRNOG00000008518	protein_coding	Gsg1
ENSRNOT00000022385.2	ENSRNOG00000016710	processed_pseudogene	AABR07028779.1
ENSRNOT00000078434.1	ENSRNOG00000001964	protein_coding	Cd47
ENSRNOT00000078221.1	ENSRNOG00000001964	protein_coding	Cd47
ENSRNOT00000050142.5	ENSRNOG00000001964	protein_coding	Cd47
ENSRNOT00000021132.6	ENSRNOG00000015636	protein_coding	Wdr34
ENSRNOT00000060156.2	ENSRNOG00000021578	protein_coding	Wfikkn1
ENSRNOT00000054729.4	ENSRNOG00000013241	protein_coding	Cyp2c24
ENSRNOT00000090279.1	ENSRNOG00000057550	processed_pseudogene	AABR07061964.1
ENSRNOT00000073040.1	ENSRNOG00000046040	protein_coding	Olr1445
ENSRNOT00000026112.5	ENSRNOG00000019177	protein_coding	Psd2
ENSRNOT00000011168.3	ENSRNOG00000008394	protein_coding	Prg2
ENSRNOT00000072317.1	ENSRNOG00000048210	protein_coding	Tpcr12
ENSRNOT00000052292.4	ENSRNOG00000045989	protein_coding	Hba-a3
ENSRNOT00000061903.2	ENSRNOG00000005730	protein_coding	Pcmtd1
ENSRNOT00000007769.6	ENSRNOG00000005730	protein_coding	Pcmtd1
ENSRNOT00000005619.7	ENSRNOG00000004192	protein_coding	Arhgap30
ENSRNOT00000067912.1	ENSRNOG00000006004	protein_coding	Phc2
ENSRNOT00000033359.5	ENSRNOG00000027938	protein_coding	RGD1562037
ENSRNOT00000016348.3	ENSRNOG00000012218	protein_coding	Poteg
ENSRNOT00000017851.6	ENSRNOG00000013103	protein_coding	Ldhc
ENSRNOT00000079440.1	ENSRNOG00000013103	protein_coding	Ldhc
ENSRNOT00000083079.1	ENSRNOG00000013103	protein_coding	Ldhc
ENSRNOT00000088892.1	ENSRNOG00000013103	protein_coding	Ldhc
ENSRNOT00000092180.1	ENSRNOG00000013103	protein_coding	Ldhc
ENSRNOT00000082718.1	ENSRNOG00000013103	protein_coding	Ldhc
ENSRNOT00000090520.1	ENSRNOG00000013103	protein_coding	Ldhc
ENSRNOT00000030919.5	ENSRNOG00000022619	protein_coding	Fth1
ENSRNOT00000067679.3	ENSRNOG00000021048	protein_coding	Lmtk3
ENSRNOT00000029755.2	ENSRNOG00000024330	protein_coding	Ngp
ENSRNOT00000060386.4	ENSRNOG00000039404	protein_coding	AABR07017662.1
ENSRNOT00000008262.6	ENSRNOG00000006033	protein_coding	Spon2
ENSRNOT00000017712.6	ENSRNOG00000013110	protein_coding	Nudt2
ENSRNOT00000024149.5	ENSRNOG00000017963	protein_coding	RGD1566325
ENSRNOT00000015367.5	ENSRNOG00000011471	protein_coding	Fgf9
ENSRNOT00000057585.4	ENSRNOG00000014288	protein_coding	Fn1
ENSRNOT00000019772.6	ENSRNOG00000014288	protein_coding	Fn1
ENSRNOT00000037106.4	ENSRNOG00000026898	protein_coding	Zbtb8b
ENSRNOT00000067319.1	ENSRNOG00000042424	protein_coding	Olr880
ENSRNOT00000000116.5	ENSRNOG00000000104	protein_coding	Thoc3
ENSRNOT00000008159.6	ENSRNOG00000006068	protein_coding	Tmem117
ENSRNOT00000088465.1	ENSRNOG00000053812	protein_coding	Selenbp1
ENSRNOT00000021403.5	ENSRNOG00000015416	protein_coding	Nabp1
ENSRNOT00000092022.1	ENSRNOG00000015716	protein_coding	Gp2
ENSRNOT00000021249.2	ENSRNOG00000015716	protein_coding	Gp2
ENSRNOT00000079450.1	ENSRNOG00000058943	protein_coding	Olr1082
ENSRNOT00000087294.1	ENSRNOG00000032552	protein_coding	Zfp799
ENSRNOT00000037708.6	ENSRNOG00000032552	protein_coding	Zfp799
ENSRNOT00000020620.6	ENSRNOG00000015235	protein_coding	Fra10ac1
ENSRNOT00000047889.3	ENSRNOG00000031769	protein_coding	Chchd7
ENSRNOT00000020907.7	ENSRNOG00000015502	protein_coding	Mfsd14a
ENSRNOT00000012999.6	ENSRNOG00000009773	protein_coding	Elovl4
ENSRNOT00000024218.6	ENSRNOG00000017876	protein_coding	Dnajc21
ENSRNOT00000066702.4	ENSRNOG00000004521	protein_coding	Prpf39
ENSRNOT00000048214.2	ENSRNOG00000014154	protein_coding	Ilf2
ENSRNOT00000077362.1	ENSRNOG00000014154	protein_coding	Ilf2
ENSRNOT00000044955.1	ENSRNOG00000045610	protein_coding	AABR07055760.1
ENSRNOT00000029591.3	ENSRNOG00000021913	protein_coding	Nlrp9
ENSRNOT00000090693.1	ENSRNOG00000002657	protein_coding	Pla2g4a
ENSRNOT00000003630.6	ENSRNOG00000002657	protein_coding	Pla2g4a
ENSRNOT00000028628.7	ENSRNOG00000021085	protein_coding	Sf1
ENSRNOT00000044866.5	ENSRNOG00000021085	protein_coding	Sf1
ENSRNOT00000018603.5	ENSRNOG00000013889	protein_coding	Tmed3
ENSRNOT00000092000.1	ENSRNOG00000054322	pseudogene	AABR07025051.3
ENSRNOT00000071962.2	ENSRNOG00000060995	protein_coding	AABR07043711.2
ENSRNOT00000021296.2	ENSRNOG00000015909	protein_coding	Olr108
ENSRNOT00000030771.6	ENSRNOG00000026157	protein_coding	RGD1562200
ENSRNOT00000017870.5	ENSRNOG00000013372	protein_coding	Fam159b
ENSRNOT00000024602.7	ENSRNOG00000017113	protein_coding	Ccnt2
ENSRNOT00000091645.1	ENSRNOG00000017113	protein_coding	Ccnt2
ENSRNOT00000074412.3	ENSRNOG00000024630	protein_coding	Igsf23
ENSRNOT00000040224.1	ENSRNOG00000046188	protein_coding	Olr115
